               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,             0.02429,             0.02053,           0.0019947,             0.91868,              0.9968,             0.99143,             0.72233,            0.022051,           0.0088711,           0.0058712,            0.003862,            0.003862,            0.003862
                  64,            0.021956,            0.016065,            0.002132,             0.96369,             0.96429,             0.99029,             0.81624,            0.015269,           0.0081177,           0.0049442,            0.003763,            0.003763,            0.003763
                  65,            0.024395,            0.019017,           0.0018346,             0.96435,             0.96429,             0.98824,              0.7329,            0.021204,             0.00877,           0.0046627,            0.003664,            0.003664,            0.003664
                  66,            0.023012,            0.018383,           0.0016159,             0.95676,             0.96429,             0.99267,                0.78,            0.017506,           0.0081768,           0.0045387,            0.003565,            0.003565,            0.003565
                  67,            0.023219,            0.015731,           0.0020554,             0.94945,             0.96429,              0.9845,             0.71042,            0.024311,             0.00916,           0.0048753,            0.003466,            0.003466,            0.003466
                  68,            0.021894,            0.017103,           0.0025251,              0.9569,              0.9666,               0.995,             0.80702,            0.015913,           0.0082531,           0.0044696,            0.003367,            0.003367,            0.003367
                  69,            0.021167,            0.014941,            0.001968,             0.96487,             0.96705,               0.995,             0.74593,            0.020499,           0.0088253,            0.004343,            0.003268,            0.003268,            0.003268
                  70,            0.022182,            0.015737,           0.0031179,             0.96079,             0.96706,               0.995,             0.80529,            0.015878,           0.0082932,           0.0048653,            0.003169,            0.003169,            0.003169
                  71,            0.023741,            0.013282,           0.0023031,             0.95679,             0.97952,               0.995,             0.74046,            0.021517,             0.00877,           0.0044172,             0.00307,             0.00307,             0.00307
                  72,            0.022451,            0.017058,           0.0016942,             0.95632,              0.9863,             0.99381,             0.82028,            0.015485,           0.0079308,           0.0041033,            0.002971,            0.002971,            0.002971
                  73,            0.020693,            0.016949,           0.0037243,             0.95654,             0.98376,               0.995,              0.7946,              0.0183,           0.0085039,           0.0041847,            0.002872,            0.002872,            0.002872
                  74,            0.021835,            0.015944,           0.0053958,             0.96155,             0.96429,             0.98579,             0.79747,            0.017445,           0.0082226,           0.0047287,            0.002773,            0.002773,            0.002773
                  75,            0.020404,             0.01805,           0.0042457,             0.95401,             0.94579,             0.98331,              0.7944,            0.016349,           0.0076942,           0.0058407,            0.002674,            0.002674,            0.002674
                  76,            0.021308,            0.015836,           0.0020819,              0.9311,             0.96429,             0.98763,              0.7795,             0.01726,           0.0079174,           0.0061306,            0.002575,            0.002575,            0.002575
                  77,            0.021429,            0.016437,           0.0016416,             0.91886,             0.99657,               0.995,             0.79567,            0.017537,           0.0079603,            0.005756,            0.002476,            0.002476,            0.002476
                  78,             0.01958,            0.015197,           0.0018738,              0.9183,             0.99639,               0.995,             0.73406,            0.020103,           0.0085669,           0.0064133,            0.002377,            0.002377,            0.002377
                  79,            0.019471,             0.01622,           0.0018351,             0.93161,             0.96306,             0.99267,             0.75954,            0.018369,           0.0083876,           0.0058949,            0.002278,            0.002278,            0.002278
                  80,            0.020546,            0.026394,           0.0017513,             0.93585,              0.9662,               0.995,             0.75853,            0.019077,           0.0083437,           0.0054239,            0.002179,            0.002179,            0.002179
                  81,            0.019706,            0.015121,           0.0017199,             0.91831,              0.9961,             0.99262,             0.74873,            0.020357,             0.00846,            0.005687,             0.00208,             0.00208,             0.00208
                  82,            0.019626,            0.014889,           0.0015845,             0.94811,             0.95828,             0.99262,             0.72236,             0.02187,           0.0086966,           0.0054642,            0.001981,            0.001981,            0.001981
                  83,            0.021762,            0.014955,           0.0032579,             0.95652,             0.94875,              0.9891,             0.72752,            0.019626,           0.0085669,           0.0057095,            0.001882,            0.001882,            0.001882
                  84,            0.019256,            0.015589,           0.0016817,             0.92753,             0.96327,             0.97923,             0.73073,            0.019429,           0.0088844,            0.006498,            0.001783,            0.001783,            0.001783
                  85,             0.01894,            0.017662,           0.0016792,             0.93116,             0.96429,             0.99063,              0.7705,            0.017114,           0.0080948,           0.0062321,            0.001684,            0.001684,            0.001684
                  86,            0.020084,            0.015934,            0.001907,             0.91843,              0.9968,               0.995,             0.77476,            0.015853,           0.0079002,           0.0059143,            0.001585,            0.001585,            0.001585
                  87,            0.018626,            0.014406,           0.0013675,             0.91957,             0.99685,               0.995,             0.74308,             0.01862,           0.0082521,           0.0052191,            0.001486,            0.001486,            0.001486
                  88,            0.019748,            0.014296,           0.0013122,             0.95668,             0.96666,               0.995,             0.77982,            0.017973,           0.0081129,           0.0047943,            0.001387,            0.001387,            0.001387
                  89,            0.018569,            0.016803,           0.0011509,             0.91984,             0.99689,               0.995,             0.75815,            0.018301,           0.0081425,            0.005386,            0.001288,            0.001288,            0.001288
                  90,            0.019895,            0.015364,           0.0019025,             0.91895,              0.9967,               0.995,             0.75539,            0.018794,           0.0084095,           0.0060234,            0.001189,            0.001189,            0.001189
                  91,            0.017653,            0.013371,           0.0013316,             0.91923,             0.99696,               0.995,             0.78337,            0.017685,           0.0081301,           0.0064846,             0.00109,             0.00109,             0.00109
                  92,            0.017441,            0.015383,           0.0014219,             0.91839,             0.99649,               0.995,             0.75688,            0.018248,           0.0083704,           0.0072445,            0.000991,            0.000991,            0.000991
                  93,            0.018132,             0.01613,           0.0010391,             0.91816,               0.996,               0.995,             0.77454,            0.017102,           0.0083151,           0.0076363,            0.000892,            0.000892,            0.000892
                  94,            0.017863,            0.012735,           0.0017433,             0.91814,             0.99589,               0.995,             0.76567,            0.018393,           0.0085592,           0.0077698,            0.000793,            0.000793,            0.000793
                  95,            0.019681,            0.013372,           0.0016251,             0.92871,              0.9637,             0.99267,             0.76051,            0.019114,           0.0086403,           0.0078972,            0.000694,            0.000694,            0.000694
                  96,            0.017044,            0.013319,           0.0010324,             0.92907,             0.96427,             0.99267,             0.75294,            0.018787,           0.0084696,           0.0080925,            0.000595,            0.000595,            0.000595
                  97,            0.017558,             0.01466,           0.0013194,             0.92902,             0.96429,             0.99267,             0.76365,            0.018173,           0.0084019,           0.0082962,            0.000496,            0.000496,            0.000496
                  98,             0.01935,            0.018922,           0.0014401,             0.92913,              0.9642,             0.99267,             0.77426,            0.017677,           0.0084372,            0.008136,            0.000397,            0.000397,            0.000397
                  99,            0.017533,            0.014071,           0.0014037,             0.91815,             0.99616,               0.995,             0.76805,            0.018322,           0.0085411,           0.0081947,            0.000298,            0.000298,            0.000298
